Station,Month,Parameter,Concentration
FARIDABAD,Jun,NO2,37.47
FARIDABAD,Jul,NO2,19.02
FARIDABAD,Aug,NO2,21.24
FARIDABAD,Sep,NO2,36.24
FARIDABAD,Oct,NO2,62.93
FARIDABAD,Nov,NO2,61.09
FARIDABAD,Dec,NO2,65.1
FARIDABAD,Jan,NO2,65.25
ANANDVIHAR,Jun,NO2,94.96
ANANDVIHAR,Jul,NO2,51.71
ANANDVIHAR,Aug,NO2,49.52
ANANDVIHAR,Sep,NO2,57.45
ANANDVIHAR,Oct,NO2,78.13
ANANDVIHAR,Nov,NO2,91.04
ANANDVIHAR,Dec,NO2,126
ANANDVIHAR,Jan,NO2,97.85
MANDIRMARG,Jun,NO2,55.69
MANDIRMARG,Jul,NO2,33.67
MANDIRMARG,Aug,NO2,35.44
MANDIRMARG,Sep,NO2,29.87
MANDIRMARG,Oct,NO2,54.03
MANDIRMARG,Nov,NO2,87.1
MANDIRMARG,Dec,NO2,71.65
MANDIRMARG,Jan,NO2,81.61
PUNJABIBAGH,Jun,NO2,69.85
PUNJABIBAGH,Jul,NO2,50.76
PUNJABIBAGH,Aug,NO2,51.31
PUNJABIBAGH,Sep,NO2,46.53
PUNJABIBAGH,Oct,NO2,83.78
PUNJABIBAGH,Nov,NO2,110.27
PUNJABIBAGH,Dec,NO2,101.06
PUNJABIBAGH,Jan,NO2,99.55
RKPURAM,Jun,NO2,64.5
RKPURAM,Jul,NO2,44.9
RKPURAM,Aug,NO2,48.6
RKPURAM,Sep,NO2,63.21
RKPURAM,Oct,NO2,101.63
RKPURAM,Nov,NO2,97.42
RKPURAM,Dec,NO2,80.58
RKPURAM,Jan,NO2,88.47
