Station,Month,Parameter,Concentration
FARIDABAD,Jun,PM2.5,88.04
FARIDABAD,Jul,PM2.5,53.83
FARIDABAD,Aug,PM2.5,77.68
FARIDABAD,Sep,PM2.5,58.8
FARIDABAD,Oct,PM2.5,121.85
FARIDABAD,Nov,PM2.5,213.51
FARIDABAD,Dec,PM2.5,212.72
FARIDABAD,Jan,PM2.5,273.48
ANANDVIHAR,Jun,PM2.5,121.97
ANANDVIHAR,Jul,PM2.5,61.28
ANANDVIHAR,Aug,PM2.5,79.84
ANANDVIHAR,Sep,PM2.5,87.56
ANANDVIHAR,Oct,PM2.5,170.41
ANANDVIHAR,Nov,PM2.5,325.83
ANANDVIHAR,Dec,PM2.5,291.21
ANANDVIHAR,Jan,PM2.5,329.74
MANDIRMARG,Jun,PM2.5,71.16
MANDIRMARG,Jul,PM2.5,38.62
MANDIRMARG,Aug,PM2.5,41.69
MANDIRMARG,Sep,PM2.5,53.14
MANDIRMARG,Oct,PM2.5,99.59
MANDIRMARG,Nov,PM2.5,221.89
MANDIRMARG,Dec,PM2.5,202.27
MANDIRMARG,Jan,PM2.5,223.34
PUNJABIBAGH,Jun,PM2.5,90.58
PUNJABIBAGH,Jul,PM2.5,57.19
PUNJABIBAGH,Aug,PM2.5,63.07
PUNJABIBAGH,Sep,PM2.5,73.92
PUNJABIBAGH,Oct,PM2.5,118.93
PUNJABIBAGH,Nov,PM2.5,280.87
PUNJABIBAGH,Dec,PM2.5,235.59
PUNJABIBAGH,Jan,PM2.5,273.76
RKPURAM,Jun,PM2.5,86.41
RKPURAM,Jul,PM2.5,56.72
RKPURAM,Aug,PM2.5,56.49
RKPURAM,Sep,PM2.5,72.22
RKPURAM,Oct,PM2.5,124.59
RKPURAM,Nov,PM2.5,250.63
RKPURAM,Dec,PM2.5,264
RKPURAM,Jan,PM2.5,265.56
,,,
