Station,Month,Parameter,From,To,Date,Concentration
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-01,82.1
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-01,62.99
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-01,56.07
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-01,49.47
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-01,44.31
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-01,48.04
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-01,49.79
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-01,61.51
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-01,96.58
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-01,106.31
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-01,79.12
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-01,86.25
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-01,74.54
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-01,100.02
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-01,98.33
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-01,102.77
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-01,81.8
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-01,111.43
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-01,109.13
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-01,115.91
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-01,118.81
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-01,131.3
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-01,125.87
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-01,112.47
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-02,94.15
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-02,76.38
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-02,61.07
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-02,53.09
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-02,54.1
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-02,64.69
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-02,84.4
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-02,89.58
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-02,97.68
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-02,113.31
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-02,114.36
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-02,109.33
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-02,85.37
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-02,84.95
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-02,85.49
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-02,98.43
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-02,115.7
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-02,124.59
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-02,132
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-02,131.19
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-02,120.03
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-02,107.71
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-02,104.37
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-02,95.66
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-03,77.87
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-03,73.86
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-03,64.07
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-03,64.55
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-03,54.25
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-03,72.19
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-03,95.68
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-03,121.22
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-03,128.82
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-03,167.6
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-03,97.58
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-03,103
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-03,119.7
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-03,133.46
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-03,120.17
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-03,126.81
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-03,136.74
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-03,142.9
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-03,144.4
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-03,144.29
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-03,141.88
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-03,145.69
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-03,144.86
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-03,121.43
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-04,106.13
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-04,107.97
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-04,96.83
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-04,90.07
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-04,88.05
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-04,96.14
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-04,94.18
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-04,104.36
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-04,106.49
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-04,117.03
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-04,130.68
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-04,142.46
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-04,146.81
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-04,127.22
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-04,126.26
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-04,119.3
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-04,139.36
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-04,144.64
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-04,170.92
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-04,182.39
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-04,194.53
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-04,169.33
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-04,139.32
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-04,121.01
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-05,117.81
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-05,107.96
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-05,92.03
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-05,92.58
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-05,85.08
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-05,78.45
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-05,92.35
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-05,113.91
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-05,162.18
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-05,219.55
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-05,197.02
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-05,207.22
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-05,188.61
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-05,212.69
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-05,168.92
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-05,210.49
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-05,188.6
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-05,192.19
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-05,208.07
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-05,229.13
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-05,213.01
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-05,209.85
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-05,197.14
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-05,173.9
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-06,153.28
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-06,137.87
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-06,75.97
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-06,72.33
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-06,56.28
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-06,63.34
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-06,79.16
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-06,130.25
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-06,147.91
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-06,144.04
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-06,132.4
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-06,123.59
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-06,114.06
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-06,123.12
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-06,103.82
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-07,88.36
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-07,93.33
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-07,82.85
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-07,67.78
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-07,81.54
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-07,86.53
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-07,81.47
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-07,91.11
